Lat,Long_,Active,Combined_Key
35.778671,137.055925,12.0,"Gifu, Japan"
36.504478999999996,138.985605,38.0,"Gunma, Japan"
34.605309000000005,132.788719,45.0,"Hiroshima, Japan"
43.385711,142.55231799999999,246.0,"Hokkaido, Japan"
35.039913,134.828057,167.0,"Hyogo, Japan"
36.303588,140.319591,42.0,"Ibaraki, Japan"
36.769464,136.771027,22.0,"Ishikawa, Japan"
39.593287,141.361777,3.0,"Iwate, Japan"
34.217292,133.969047,5.0,"Kagawa, Japan"
31.009484000000004,130.430665,18.0,"Kagoshima, Japan"
35.415312,139.338983,602.0,"Kanagawa, Japan"
33.422519,133.367307,2.0,"Kochi, Japan"
32.608154,130.74523100000002,103.0,"Kumamoto, Japan"
35.253815,135.443341,127.0,"Kyoto, Japan"
34.508018,136.376013,25.0,"Mie, Japan"
38.446859,140.927086,54.0,"Miyagi, Japan"
32.193203999999994,131.299374,21.0,"Miyazaki, Japan"
36.132134,138.045528,1.0,"Nagano, Japan"
33.235712,129.608033,5.0,"Nagasaki, Japan"
34.317451,135.871644,29.0,"Nara, Japan"
37.521819,138.918647,7.0,"Niigata, Japan"
33.200697,131.43323999999998,1.0,"Oita, Japan"
34.89246,133.826252,15.0,"Okayama, Japan"
25.768923,126.668016,280.0,"Okinawa, Japan"
34.620965000000005,135.507481,514.0,"Osaka, Japan"
33.286977,130.115738,,"Saga, Japan"
35.997101,139.347635,459.0,"Saitama, Japan"
35.21582700000001,136.13806399999999,16.0,"Shiga, Japan"
35.07076,132.55406399999998,0.0,"Shimane, Japan"
34.916975,138.40778400000002,14.0,"Shizuoka, Japan"
36.689912,139.819213,21.0,"Tochigi, Japan"
33.919178,134.242091,0.0,"Tokushima, Japan"
35.711343,139.446921,2160.0,"Tokyo, Japan"
35.359069,133.863619,1.0,"Tottori, Japan"
36.637464,137.26934599999998,2.0,"Toyama, Japan"
33.911879,135.505446,15.0,"Wakayama, Japan"
38.448396,140.102154,3.0,"Yamagata, Japan"
34.201190000000004,131.573293,8.0,"Yamaguchi, Japan"
35.612364,138.61148899999998,3.0,"Yamanashi, Japan"
31.24,36.51,26162.0,Jordan
48.0196,66.9237,2633.0,Kazakhstan
-0.0236,37.9062,10830.0,Kenya
35.90775700000001,127.766922,1414.0,"Korea, South"
42.602636,20.902977,1338.0,Kosovo
29.311659999999996,47.481766,7485.0,Kuwait
41.20438,74.766098,4410.0,Kyrgyzstan
19.856270000000002,102.495496,1.0,Laos
56.8796,24.6032,1686.0,Latvia
33.8547,35.8623,32250.0,Lebanon
-29.61,28.2336,830.0,Lesotho
6.4280550000000005,-9.429499,38.0,Liberia
26.3351,17.228331,20310.0,Libya
47.14,9.55,51.0,Liechtenstein
55.1694,23.8813,3667.0,Lithuania
49.8153,6.1296,1727.0,Luxembourg
-18.766947000000002,46.869107,393.0,Madagascar
-13.2543,34.3015,927.0,Malawi
4.210483999999999,101.97576600000001,5945.0,Malaysia
3.2028,73.2207,1147.0,Maldives
17.570692,-3.996166000000001,677.0,Mali
35.9375,14.3754,1009.0,Malta
21.0079,-10.9408,96.0,Mauritania
-20.348404000000002,57.552152,41.0,Mauritius
21.8853,-102.2916,655.0,"Aguascalientes, Mexico"
30.8406,-115.2838,825.0,"Baja California, Mexico"
